"","Site","Site.Code.x","Sampling.Time","Unique.ID","Plot.ID","Site.code","locale","ocean","margin","Janines.sites","Site.Code.y","Subsite","Subsite.Name","Ocean","Coast","Basin","First.Year.In.ZEN","Latitude","Longitude"
"47","BC.A","BC",1,"BC.A.1.7",7,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"48","BC.A","BC",1,"BC.A.1.8",8,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"49","BC.A","BC",1,"BC.A.1.9",9,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"50","BC.A","BC",1,"BC.A.1.10",10,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"51","BC.A","BC",1,"BC.A.1.11",11,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"52","BC.A","BC",1,"BC.A.1.12",12,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"53","BC.A","BC",1,"BC.A.1.13",13,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"54","BC.A","BC",1,"BC.A.1.14",14,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"55","BC.A","BC",1,"BC.A.1.15",15,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"56","BC.A","BC",1,"BC.A.1.16",16,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"57","BC.A","BC",1,"BC.A.1.17",17,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"58","BC.A","BC",1,"BC.A.1.18",18,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"59","BC.A","BC",1,"BC.A.1.19",19,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"60","BC.A","BC",1,"BC.A.1.20",20,"BC","A","Pacific","east","BrColA","BC","A","Tsawwassen","Pacific","East.Pacific","East",2011,49,-123.1
"61","BC.B","BC",1,"BC.B.1.1",1,"BC","B","Pacific","east","BrColB","BC","B","White Rock","Pacific","East.Pacific","East",2014,49,-122.8
